smiles,logS
Cc1cc(C(C)(C)C)cc(C(C)(C)C)c1,-2.428145418738956
CCc1ccccc1OC,-1.3199927704305143
c1ccc(CCc2ccccc2)cc1,-1.6785197377325258
CCc1ccc(OC)cc1,-1.1471959923071693
COc1cc(C)ccc1C,-1.3865905850097888
COc1cccc(C)c1,-1.247688994857016
CCc1cccnc1,-1.0051064016274613
CCc1ccccn1,-1.1404947017774165
CCCc1ccccn1,-1.2813600896405641
Cc1ccc(C#N)cc1,-1.1513523930936602
Cc1cc2ccccc2s1,-1.6108755567230688
CCc1ccc(Cl)cc1,-1.3525598515427546
CCc1ccc(C)cc1,-1.3026997631446757
CCCCCc1ccccc1,-1.930536372960771
CCc1ccc(Br)cc1,-1.4615904394224712
COc1cc(C)cc(C)c1,-1.396661321364929
CCc1cccc2ccccc12,-1.666506920431286
CCc1cccc(C(C)(C)C)c1,-2.0382025855445534
Cc1cc(C)cc(C(C)(C)C)c1,-2.032844938459017
Cc1cccc([N+](=O)[O-])c1C,-1.301168887874785
c1ccc(CCCc2ccncc2)cc1,-1.79690093982016
c1cnc2c(c1)CCCC2,-1.03417855192127
CCCCCCc1cccs1,-2.0817783640163445
Fc1ccc(Cc2nc3ccccc3[nH]2)cc1,-1.723135867086687
CCOc1ccc(CC)cc1,-1.4929478037289359
CCCCCc1cccs1,-1.8256576582639386
CCCCc1cc2ccccc2o1,-1.863473387047892
CCc1ccc2cc(CC)ccc2c1,-2.1010890217957017
CCCc1cccs1,-1.2848389432327991
COc1cccc(OC)c1C,-1.1303869435094032
Cc1ccc(CCc2ccc(C)cc2)cc1,-2.212645100919582
CC(C)CCCOC(=O)c1ccccc1,-1.6361182960859766
CCOC(=O)C1(C)CCCC2(C)C3CCC4(C)CC3(CCC12)CC4=O,-2.33682884119062
CCCCCOC(=O)c1ccccc1,-1.8041971479570535
CC1CCC2C(C)(C)C3CC12CCC3(C)O,-1.7496051289416161
CC(C)C1CCC2C(=O)CCC(C)C2(C)C1,-1.9778816434014455
CCCC(C)COC(=O)C(C)(C)C,-1.724884894131805
O=C(OC1CCCCCC1)c1ccccc1,-1.9747960829899058
CCCCCOC(=O)C1CCCCC1,-1.7316586847999715
CC12CCC3c4ccc(OS(=O)(=O)C(F)(F)F)cc4CCC3C1CCC2=O,-2.2018941176974183
C=CCCCCCCCCC(=O)N[N+](C)(C)C.F[B-](F)(F)F,-2.0866021042715794
CC(=O)OC1CCC2(C)C(CCC3C2CCC2(C)C(C(C)=O)CCC32)C1,-2.596084572385477
CC(=O)OC1CC(C)CCC1C(C)C,-1.4772156892922723
CC(=O)OC1CCC2(C)C(CCC3C4CCC(=O)C4(C)CCC32)C1,-2.4135987167106894
COC(=O)C1(C)CCCCC1,-1.1437043637618585
CC(=O)CCC1C(C)CCCC1(C)C,-1.8663578312335303
COc1ccc(C(=O)Cc2ccccc2)cc1,-1.5018619436272453
CC(=O)c1ccc2c(c1)Cc1ccccc1-2,-2.0244089793678115
Brc1ccc2c(c1)Cc1ccccc1-2,-1.88734815348536
Ic1ccc2c(c1)Cc1ccccc1-2,-1.9817545008297028
Cc1ccc(C(=O)Cc2ccccc2)cc1,-1.7071718124563455
O=C(Cc1ccccc1)c1ccc(Cl)cc1,-2.003265240095438
CCc1ccc(C(=O)Cc2ccccc2)cc1,-2.1443692867735455
O=C(Cc1ccccc1)c1ccc(F)cc1,-1.964287482091038
Cc1ccc(CC(=O)c2ccc(C)cc2)cc1,-1.969007890374909
O=C(Cc1cc2ccccc2s1)c1ccccc1,-2.2544233260017807
Cc1ccc(C(=O)Cc2ccc3ccccc3c2)cc1,-2.334597078080486
COc1ccccc1C(=O)Cc1ccccc1,-1.523579508857826
O=C(Cc1ccccc1)c1cccnc1,-1.4660908136282467
Cc1ccc(CC(=O)c2ccccc2)s1,-1.8420048229870258
CCCCCCCC,-2.0107012327245943
CCc1ccc(CC)cc1,-1.8271576015690687
Cc1ccc(-c2ccccc2)cc1,-2.084923763466611
CCc1ccc(-c2ccccc2)cc1,-1.92158907893063
CCCc1ccc(OC)cc1,-1.303156015968889
CCCCOc1ccc(CC)cc1,-1.8951306592829957
CCc1ccc(-c2ccc(CC)cc2)cc1,-2.265308477603697
CCc1ccc(-c2ccc(Br)cc2)cc1,-2.537206973833126
CCCCc1ccc(-c2ccccc2)cc1,-2.39372507157885
COc1ccc(C(C)C)cc1,-1.6710119136193868
CCc1ccc(OCc2ccccc2)cc1,-1.984078791583015
CCc1ccc(C(=O)OC)cc1,-1.1915448911782283
CCc1ccc(OC(C)=O)cc1,-1.438302598408833
COc1ccc2c(c1)C(=O)CCC2,-1.3786648246065223
COc1cc2c(cc1OC)C(=O)CC2,-1.0183175580210309
CCCCc1ccc(Br)cc1,-1.8703824425417876
CC(C)CCc1ccccc1,-1.804962350358843
C#CCCCc1ccccc1,-1.2425346566578974
CC(C)c1ccc(Br)cc1,-1.9054291662756808
BrCCCc1ccccc1,-1.64185771264615
Brc1ccc2c(c1)CCCO2,-1.651495679950402
CC(=O)c1cc(C(C)(C)C)cc2c1CCC2(C)C,-2.34189984453042
COC(=O)Cc1ccc(-c2ccccc2)cc1,-1.650652038982177
COC(=O)C(C)c1ccc(CC(C)C)cc1,-1.689272943543075
CCCCCCc1ccc(Br)s1,-2.272407915599169
